baseline_id,baseline_name,machine_id,n_normal,n_abnormal,auroc,separation_ratio
B1_mfcc_distance,Raw MFCC Distance,id_00,152,143,0.5068,1.0155
B1_mfcc_distance,Raw MFCC Distance,id_02,152,111,0.667,1.6148
B1_mfcc_distance,Raw MFCC Distance,id_04,106,100,0.5816,1.2087
B1_mfcc_distance,Raw MFCC Distance,id_06,156,102,0.5416,0.9942
B2_stat_distance,Statistical Audio Feature Distance,id_00,152,143,0.4581,0.921
B2_stat_distance,Statistical Audio Feature Distance,id_02,152,111,0.6316,1.5113
B2_stat_distance,Statistical Audio Feature Distance,id_04,106,100,0.5441,1.1763
B2_stat_distance,Statistical Audio Feature Distance,id_06,156,102,0.5265,0.9312
B3_random_projection,Non-Contrastive (Random) Projection Embedding,id_00,152,143,0.5198,1.0002
B3_random_projection,Non-Contrastive (Random) Projection Embedding,id_02,152,111,0.5145,1.0003
B3_random_projection,Non-Contrastive (Random) Projection Embedding,id_04,106,100,0.5228,1.0005
B3_random_projection,Non-Contrastive (Random) Projection Embedding,id_06,156,102,0.5442,1.0009
