machine_id,metric,n_normal,n_abnormal,u_statistic,p_value
id_00,normalized_euclidean,152,143,4807.0,1.2651026053928152e-16
id_00,normalized_manhattan,152,143,4783.0,9.602936067620042e-17
id_00,normalized_cosine,152,143,15603.0,1.0069674401517465e-10
id_02,normalized_euclidean,152,111,3218.0,1.0918258517818098e-17
id_02,normalized_manhattan,152,111,3325.0,4.936425457089452e-17
id_02,normalized_cosine,152,111,12314.0,1.9605992510389574e-10
id_04,normalized_euclidean,106,100,523.0,5.702996575956625e-29
id_04,normalized_manhattan,106,100,581.0,2.6021540990991433e-28
id_04,normalized_cosine,106,100,2631.0,4.361608808675881e-10
id_06,normalized_euclidean,156,102,4953.0,3.000164499307414e-07
id_06,normalized_manhattan,156,102,4883.0,1.5808594812189987e-07
id_06,normalized_cosine,156,102,6190.0,0.002589928142776053
