machine_type,machine_id,filename,true_label,health_score,health_percentage,health_state,normalized_euclidean,normalized_manhattan,normalized_cosine
pump,id_00,00000764.wav,normal,95.59679649865464,95.6%,EXCELLENT,12.961474418640137,187.38516235351562,-0.08613012731075287
pump,id_00,00000269.wav,normal,99.12646873179708,99.1%,EXCELLENT,7.184118747711182,98.63961791992188,-0.05200525373220444
pump,id_00,00000551.wav,normal,2.965140538489187,3.0%,CRITICAL,43.88799285888672,617.388916015625,-0.008786845952272415
pump,id_00,00000980.wav,normal,99.48902904944748,99.5%,EXCELLENT,5.533754348754883,79.75062561035156,0.062239330261945724
pump,id_00,00000762.wav,normal,97.96109156054193,98.0%,EXCELLENT,10.033157348632812,143.17848205566406,-0.07403311878442764
pump,id_00,00000252.wav,normal,95.6725707286705,95.7%,EXCELLENT,12.890931129455566,185.15963745117188,0.13250845670700073
pump,id_00,00000998.wav,normal,99.72340616843954,99.7%,EXCELLENT,3.7599875926971436,51.96160888671875,-0.07861924916505814
pump,id_00,00000271.wav,normal,5.8528902783242005,5.9%,CRITICAL,41.14377975463867,584.9786376953125,-0.07055376470088959
pump,id_00,00000146.wav,normal,0.013761548177307906,0.0%,CRITICAL,58.97065734863281,808.822509765625,0.03975057601928711
pump,id_00,00000469.wav,normal,99.2562192565465,99.3%,EXCELLENT,6.678304672241211,93.27218627929688,-0.1078968346118927
pump,id_00,00000658.wav,normal,98.65403562855916,98.7%,EXCELLENT,8.595966339111328,109.57083129882812,-0.07235079258680344
pump,id_00,00000405.wav,normal,98.78502854281294,98.8%,EXCELLENT,8.25433349609375,119.61724853515625,-0.11214172095060349
pump,id_00,00000511.wav,normal,78.36459882478428,78.4%,GOOD,20.893070220947266,264.981689453125,-0.02513572759926319
pump,id_00,00000671.wav,normal,95.00680882931769,95.0%,EXCELLENT,13.479710578918457,190.40838623046875,-0.055214472115039825
pump,id_00,00000217.wav,normal,86.86969759228238,86.9%,GOOD,18.002574920654297,259.33526611328125,-0.10006697475910187
