machine_type,machine_id,filename,true_label,health_score,health_percentage,health_state,normalized_euclidean,normalized_manhattan,normalized_cosine
fan,id_00,00000197.wav,normal,96.35150974541877,96.4%,EXCELLENT,13.627485275268555,189.7487335205078,-0.03220498189330101
fan,id_00,00000979.wav,normal,99.19587085234645,99.2%,EXCELLENT,9.605791091918945,125.63836669921875,0.02149881049990654
fan,id_00,00000137.wav,normal,96.42069519680099,96.4%,EXCELLENT,13.570358276367188,186.1334686279297,-0.019680960103869438
fan,id_00,00000010.wav,normal,99.07040519097478,99.1%,EXCELLENT,9.955694198608398,134.6739501953125,0.05347433686256409
fan,id_00,00000045.wav,normal,56.18085719738123,56.2%,WARNING,24.35256576538086,322.93292236328125,0.018538689240813255
fan,id_00,00000472.wav,normal,95.46443661880097,95.5%,EXCELLENT,14.291386604309082,196.18801879882812,-0.025476107373833656
fan,id_00,00000769.wav,normal,92.31894840746564,92.3%,EXCELLENT,16.025779724121094,215.28768920898438,0.007748126517981291
fan,id_00,00000387.wav,normal,99.79500606444095,99.8%,EXCELLENT,6.571020126342773,85.38717651367188,0.0032974211499094963
fan,id_00,00000455.wav,normal,61.11637051552156,61.1%,WARNING,23.52206802368164,306.3348388671875,-0.03882954269647598
fan,id_00,00000998.wav,normal,99.24870503107557,99.2%,EXCELLENT,9.443891525268555,128.19732666015625,-0.053891826421022415
fan,id_00,00000157.wav,normal,99.84603914101994,99.8%,EXCELLENT,5.985833168029785,77.33033752441406,-0.015756836161017418
fan,id_00,00000181.wav,normal,93.7746972841436,93.8%,EXCELLENT,15.310051918029785,200.68521118164062,0.0029298600275069475
fan,id_00,00000495.wav,normal,96.07676019955498,96.1%,EXCELLENT,13.84595775604248,178.03269958496094,-0.0008180629229173064
fan,id_00,00000557.wav,normal,85.5665433457668,85.6%,GOOD,18.421777725219727,247.07089233398438,0.00031332450453191996
fan,id_00,00000238.wav,normal,99.11030486398703,99.1%,EXCELLENT,9.849162101745605,131.50457763671875,-0.0467226505279541
