machine_type,machine_id,filename,true_label,health_score,health_state,norm_euclidean,norm_euclidean_recomputed,dsp_group_MFCC,dsp_group_MFCC_delta,dsp_group_MFCC_delta2,dsp_group_Spectral,dsp_group_Temporal,dsp_group_Harmonic,top_embedding_dims,top_embedding_abs_z
pump,id_00,00000764.wav,normal,95.5968,EXCELLENT,12.9615,9.7701,0.530591,0.645993,0.629134,0.928167,0.647333,0.668,"[151, 27, 234, 187, 173, 139, 148, 142, 60, 128, 249, 232, 114, 160, 134, 65, 2, 130, 168, 159]","[1.4181, 1.3862, 1.3677, 1.3566, 1.3146, 1.3122, 1.3118, 1.3081, 1.265, 1.2539, 1.2519, 1.2509, 1.2413, 1.2327, 1.2295, 1.2245, 1.2188, 1.2111, 1.1146, 1.1108]"
pump,id_00,00000269.wav,normal,99.1265,EXCELLENT,7.1841,10.4397,0.525463,0.609763,0.630403,0.778242,0.500189,0.806081,"[61, 26, 95, 143, 98, 86, 170, 239, 49, 23, 106, 120, 50, 42, 132, 136, 117, 13, 116, 19]","[1.1445, 1.1251, 1.1197, 1.1122, 1.1056, 1.1003, 1.0851, 1.0721, 1.0701, 1.0671, 1.0669, 1.0662, 1.0594, 1.0501, 1.0465, 1.0455, 1.0449, 1.0343, 1.0316, 1.0171]"
pump,id_00,00000551.wav,normal,2.9651,CRITICAL,43.888,22.1006,0.907495,0.961656,0.712525,0.697666,0.965116,0.606478,"[217, 36, 208, 85, 177, 55, 41, 9, 153, 190, 0, 178, 212, 83, 29, 206, 38, 156, 71, 165]","[2.5962, 2.4755, 2.4629, 2.3945, 2.3773, 2.3458, 2.3301, 2.2826, 2.2732, 2.2642, 2.2385, 2.2259, 2.2086, 2.2012, 2.1985, 2.1951, 2.1912, 2.1659, 2.1511, 2.1433]"
pump,id_00,00000980.wav,normal,99.489,EXCELLENT,5.5338,11.0532,0.689584,0.455561,0.636982,0.441265,0.442208,0.352593,"[17, 46, 172, 192, 89, 141, 133, 251, 226, 228, 18, 11, 215, 163, 65, 179, 200, 232, 1, 123]","[1.4739, 1.4386, 1.3658, 1.3325, 1.303, 1.3012, 1.2902, 1.2753, 1.2742, 1.2681, 1.2307, 1.1995, 1.1969, 1.1832, 1.167, 1.1581, 1.1472, 1.1466, 1.1396, 1.1394]"
pump,id_00,00000762.wav,normal,97.9611,EXCELLENT,10.0332,10.334,0.618986,0.625322,0.60659,0.87289,0.665885,0.428899,"[112, 160, 234, 118, 146, 172, 142, 12, 28, 186, 181, 187, 119, 134, 222, 60, 224, 18, 247, 130]","[1.5406, 1.4399, 1.3802, 1.36, 1.3433, 1.3247, 1.3172, 1.2841, 1.2566, 1.2521, 1.2355, 1.2095, 1.1996, 1.1983, 1.1967, 1.1787, 1.1669, 1.1571, 1.1569, 1.1334]"
pump,id_00,00000252.wav,normal,95.6726,EXCELLENT,12.8909,15.6365,0.706636,0.715024,0.704936,0.496106,0.731705,0.257753,"[249, 142, 138, 82, 232, 114, 235, 128, 228, 14, 2, 133, 139, 151, 60, 51, 5, 248, 35, 227]","[2.2077, 2.0876, 2.0837, 1.9935, 1.9715, 1.9502, 1.9424, 1.9327, 1.8993, 1.8766, 1.8635, 1.8591, 1.8522, 1.8088, 1.8038, 1.8003, 1.7795, 1.7737, 1.7558, 1.7532]"
pump,id_00,00000998.wav,normal,99.7234,EXCELLENT,3.76,10.1234,0.779837,0.75501,0.674758,0.661163,0.556958,0.537412,"[96, 253, 145, 163, 245, 144, 198, 185, 121, 89, 1, 18, 7, 107, 137, 200, 115, 190, 92, 83]","[1.3886, 1.3614, 1.3265, 1.2851, 1.2684, 1.2678, 1.243, 1.2209, 1.2201, 1.1932, 1.1916, 1.1556, 1.1522, 1.139, 1.1364, 1.1332, 1.1181, 1.1153, 1.1085, 1.0965]"
pump,id_00,00000271.wav,normal,5.8529,CRITICAL,41.1438,53.6831,1.128427,0.95228,0.983174,1.610106,0.688907,1.01244,"[7, 46, 213, 163, 183, 215, 190, 203, 144, 57, 200, 92, 242, 103, 89, 96, 209, 185, 133, 204]","[7.9198, 7.4025, 7.2994, 7.1991, 7.0348, 6.9557, 6.486, 6.399, 6.3906, 6.3221, 6.1402, 6.0929, 5.868, 5.8611, 5.8424, 5.7895, 5.7685, 5.7431, 5.6995, 5.696]"
pump,id_00,00000146.wav,normal,0.0138,CRITICAL,58.9707,24.8084,1.236204,0.773604,0.980062,1.54373,1.992775,1.604727,"[227, 69, 14, 33, 117, 123, 149, 229, 235, 148, 84, 176, 202, 27, 5, 34, 35, 138, 199, 110]","[2.9339, 2.9015, 2.8595, 2.7854, 2.773, 2.743, 2.7361, 2.7336, 2.716, 2.6859, 2.6855, 2.6788, 2.6444, 2.6153, 2.6128, 2.5756, 2.5725, 2.4916, 2.4876, 2.448]"
pump,id_00,00000469.wav,normal,99.2562,EXCELLENT,6.6783,9.2843,0.752984,0.567201,0.569881,0.538944,0.855177,0.631017,"[25, 220, 228, 59, 15, 133, 30, 154, 249, 223, 151, 107, 248, 202, 240, 75, 17, 60, 192, 250]","[1.4338, 1.4131, 1.2818, 1.279, 1.212, 1.1932, 1.1546, 1.1397, 1.1138, 1.0806, 1.0768, 1.073, 1.0386, 1.0338, 1.0327, 1.0309, 1.025, 1.0242, 1.0209, 1.014]"
