machine_type,machine_id,method,roc_auc,cohens_d,phase9_roc_auc,delta_vs_phase9
fan,overall,ocsvm,0.672342,0.636214,0.698577,-0.026235
fan,overall,iforest,0.702051,0.767605,0.698577,0.003474
fan,overall,knn,0.717116,0.713112,0.698577,0.018539
fan,id_00,ocsvm,0.507732,0.073945,0.531122,-0.02339
fan,id_00,iforest,0.545342,0.166038,0.531122,0.01422
fan,id_00,knn,0.589135,0.249651,0.531122,0.058013
fan,id_02,ocsvm,0.662789,0.615259,0.741284,-0.078495
fan,id_02,iforest,0.749559,0.929977,0.741284,0.008275
fan,id_02,knn,0.756204,0.906714,0.741284,0.01492
fan,id_04,ocsvm,0.655209,0.478043,0.695927,-0.040718
fan,id_04,iforest,0.710396,0.740082,0.695927,0.014469
fan,id_04,knn,0.70662,0.60165,0.695927,0.010693
fan,id_06,ocsvm,0.897652,1.75306,0.877184,0.020468
fan,id_06,iforest,0.89041,1.793378,0.877184,0.013226
fan,id_06,knn,0.87694,1.715658,0.877184,-0.000244
pump,overall,ocsvm,0.813511,1.220081,0.863535,-0.050024
pump,overall,iforest,0.867216,1.66501,0.863535,0.003681
pump,overall,knn,0.857778,1.390324,0.863535,-0.005757
pump,id_00,ocsvm,0.796973,1.053593,0.828441,-0.031468
pump,id_00,iforest,0.826279,1.313979,0.828441,-0.002162
pump,id_00,knn,0.799227,1.073361,0.828441,-0.029214
pump,id_02,ocsvm,0.696776,0.729453,0.795223,-0.098447
pump,id_02,iforest,0.807847,1.158429,0.795223,0.012624
pump,id_02,knn,0.814189,0.881398,0.795223,0.018966
pump,id_04,ocsvm,0.941887,2.002536,0.951604,-0.009717
pump,id_04,iforest,0.958113,3.197538,0.951604,0.006509
pump,id_04,knn,0.965,2.502762,0.951604,0.013396
pump,id_06,ocsvm,0.884867,1.833649,0.929361,-0.044494
pump,id_06,iforest,0.929173,2.286394,0.929361,-0.000188
pump,id_06,knn,0.929173,2.049355,0.929361,-0.000188
slider,overall,ocsvm,0.917423,1.46556,0.881314,0.036109
slider,overall,iforest,0.889226,1.751067,0.881314,0.007912
slider,overall,knn,0.843474,1.334129,0.881314,-0.03784
slider,id_00,ocsvm,0.992062,3.147634,0.989977,0.002085
slider,id_00,iforest,0.988729,4.192022,0.989977,-0.001248
slider,id_00,knn,0.994731,3.409451,0.989977,0.004754
slider,id_02,ocsvm,0.94703,2.309993,0.933596,0.013434
slider,id_02,iforest,0.932003,2.527382,0.933596,-0.001593
slider,id_02,knn,0.947542,2.163142,0.933596,0.013946
slider,id_04,ocsvm,0.674157,0.486265,0.67655,-0.002393
slider,id_04,iforest,0.676377,0.607067,0.67655,-0.000173
slider,id_04,knn,0.66847,0.369149,0.67655,-0.00808
slider,id_06,ocsvm,0.751006,0.738182,0.792135,-0.041129
slider,id_06,iforest,0.769039,0.95146,0.792135,-0.023096
slider,id_06,knn,0.795395,0.892651,0.792135,0.00326
valve,overall,ocsvm,0.791172,1.080253,0.828308,-0.037136
valve,overall,iforest,0.827862,1.391434,0.828308,-0.000446
valve,overall,knn,0.826928,1.292004,0.828308,-0.00138
valve,id_00,ocsvm,0.913501,1.584884,0.96098,-0.047479
valve,id_00,iforest,0.972437,3.204391,0.96098,0.011457
valve,id_00,knn,0.964538,2.591713,0.96098,0.003558
valve,id_02,ocsvm,0.755607,0.747437,0.771301,-0.015694
valve,id_02,iforest,0.722664,0.693163,0.771301,-0.048637
valve,id_02,knn,0.684034,0.406182,0.771301,-0.087267
valve,id_04,ocsvm,0.893056,1.732474,0.907583,-0.014527
valve,id_04,iforest,0.920333,2.14677,0.907583,0.01275
valve,id_04,knn,0.949056,2.327293,0.907583,0.041473
valve,id_06,ocsvm,0.636778,0.629236,0.727194,-0.090416
valve,id_06,iforest,0.7255,0.882156,0.727194,-0.001694
valve,id_06,knn,0.774444,0.975845,0.727194,0.04725
fan,overall,phase9_proposed,0.698577,nan,0.698577,0.0
pump,overall,phase9_proposed,0.863535,nan,0.863535,0.0
slider,overall,phase9_proposed,0.881314,nan,0.881314,0.0
valve,overall,phase9_proposed,0.828308,nan,0.828308,0.0
overall,overall,ocsvm,0.777297,0.94404,0.787522,-0.010225
overall,overall,iforest,0.787054,1.151862,0.787522,-0.000468
overall,overall,knn,0.775979,1.002717,0.787522,-0.011543
overall,overall,phase9_proposed,0.787522,nan,0.787522,0.0
