machine_type,machine_id,method,roc_auc,cohens_d,phase9_roc_auc,delta_vs_phase9
fan,overall,ocsvm,0.78125,0.747339,0.698577,0.082673
fan,overall,iforest,0.5,0.0,0.698577,-0.198577
fan,overall,knn,0.8125,0.889892,0.698577,0.113923
fan,id_00,ocsvm,0.75,1.140003,0.531122,0.218878
fan,id_00,iforest,0.5,0.0,0.531122,-0.031122
fan,id_00,knn,0.75,1.354462,0.531122,0.218878
fan,id_02,ocsvm,1.0,4.802467,0.741284,0.258716
fan,id_02,iforest,0.5,0.0,0.741284,-0.241284
fan,id_02,knn,1.0,5.517096,0.741284,0.258716
fan,id_04,ocsvm,0.5,-0.311488,0.695927,-0.195927
fan,id_04,iforest,0.5,0.0,0.695927,-0.195927
fan,id_04,knn,0.5,-0.216416,0.695927,-0.195927
fan,id_06,ocsvm,1.0,6.501401,0.877184,0.122816
fan,id_06,iforest,0.5,0.0,0.877184,-0.377184
fan,id_06,knn,1.0,5.714529,0.877184,0.122816
pump,overall,ocsvm,0.796875,0.879733,0.863535,-0.06666
pump,overall,iforest,0.5,0.0,0.863535,-0.363535
pump,overall,knn,0.8125,1.100909,0.863535,-0.051035
pump,id_00,ocsvm,1.0,2.85808,0.828441,0.171559
pump,id_00,iforest,0.5,0.0,0.828441,-0.328441
pump,id_00,knn,1.0,1.94294,0.828441,0.171559
pump,id_02,ocsvm,0.5,-0.590571,0.795223,-0.295223
pump,id_02,iforest,0.5,0.0,0.795223,-0.295223
pump,id_02,knn,0.5,-0.412929,0.795223,-0.295223
pump,id_04,ocsvm,0.75,1.040283,0.951604,-0.201604
pump,id_04,iforest,0.5,0.0,0.951604,-0.451604
pump,id_04,knn,0.75,1.062188,0.951604,-0.201604
pump,id_06,ocsvm,1.0,1.694373,0.929361,0.070639
pump,id_06,iforest,0.5,0.0,0.929361,-0.429361
pump,id_06,knn,1.0,2.010116,0.929361,0.070639
slider,overall,ocsvm,0.84375,1.114823,0.881314,-0.037564
slider,overall,iforest,0.5,0.0,0.881314,-0.381314
slider,overall,knn,0.78125,1.068088,0.881314,-0.100064
slider,id_00,ocsvm,1.0,15.354165,0.989977,0.010023
slider,id_00,iforest,0.5,0.0,0.989977,-0.489977
slider,id_00,knn,1.0,13.621249,0.989977,0.010023
slider,id_02,ocsvm,1.0,24.002271,0.933596,0.066404
slider,id_02,iforest,0.5,0.0,0.933596,-0.433596
slider,id_02,knn,1.0,17.688398,0.933596,0.066404
slider,id_04,ocsvm,0.5,-0.737213,0.67655,-0.17655
slider,id_04,iforest,0.5,0.0,0.67655,-0.17655
slider,id_04,knn,0.5,-0.512591,0.67655,-0.17655
slider,id_06,ocsvm,0.5,0.431027,0.792135,-0.292135
slider,id_06,iforest,0.5,0.0,0.792135,-0.292135
slider,id_06,knn,0.75,0.384399,0.792135,-0.042135
valve,overall,ocsvm,0.6875,0.558355,0.828308,-0.140808
valve,overall,iforest,0.5,0.0,0.828308,-0.328308
valve,overall,knn,0.703125,0.558262,0.828308,-0.125183
valve,id_00,ocsvm,1.0,1.740017,0.96098,0.03902
valve,id_00,iforest,0.5,0.0,0.96098,-0.46098
valve,id_00,knn,1.0,1.614394,0.96098,0.03902
valve,id_02,ocsvm,0.75,0.163892,0.771301,-0.021301
valve,id_02,iforest,0.5,0.0,0.771301,-0.271301
valve,id_02,knn,0.75,0.335448,0.771301,-0.021301
valve,id_04,ocsvm,0.75,0.457279,0.907583,-0.157583
valve,id_04,iforest,0.5,0.0,0.907583,-0.407583
valve,id_04,knn,0.75,0.474294,0.907583,-0.157583
valve,id_06,ocsvm,0.75,0.835884,0.727194,0.022806
valve,id_06,iforest,0.5,0.0,0.727194,-0.227194
valve,id_06,knn,0.75,0.868566,0.727194,0.022806
fan,overall,phase9_proposed,0.698577,nan,0.698577,0.0
pump,overall,phase9_proposed,0.863535,nan,0.863535,0.0
slider,overall,phase9_proposed,0.881314,nan,0.881314,0.0
valve,overall,phase9_proposed,0.828308,nan,0.828308,0.0
overall,overall,ocsvm,0.755859,0.827387,0.787522,-0.031663
overall,overall,iforest,0.5,0.0,0.787522,-0.287522
overall,overall,knn,0.744141,0.832378,0.787522,-0.043381
overall,overall,phase9_proposed,0.787522,nan,0.787522,0.0
