baseline,delta
ocsvm,0.00409638
ocsvm,0.0074098
ocsvm,0.00260346
ocsvm,0.01440132
ocsvm,0.01684123
ocsvm,0.01264118
ocsvm,0.01092394
ocsvm,0.01688102
ocsvm,0.00368188
ocsvm,0.00889472
ocsvm,0.01029753
ocsvm,0.00847366
ocsvm,0.00875371
ocsvm,0.01441076
ocsvm,0.01011403
ocsvm,0.01430954
ocsvm,0.01375431
ocsvm,0.01217107
ocsvm,0.00774705
ocsvm,0.01052719
ocsvm,0.00676334
ocsvm,0.01471529
ocsvm,0.0064391
ocsvm,0.00452548
ocsvm,0.00683116
ocsvm,0.01280456
ocsvm,0.01463272
ocsvm,0.01099416
ocsvm,0.00192629
ocsvm,0.01359438
ocsvm,0.01299972
ocsvm,0.01313419
ocsvm,0.00938086
ocsvm,0.00255964
ocsvm,0.01134472
ocsvm,0.00637981
ocsvm,0.00674385
ocsvm,0.01020179
ocsvm,0.00791867
ocsvm,0.01051528
ocsvm,0.01229713
ocsvm,0.01570942
ocsvm,0.01008892
ocsvm,0.01045097
ocsvm,0.00926217
ocsvm,0.00869847
ocsvm,0.01799185
ocsvm,0.01837466
ocsvm,0.00817591
ocsvm,0.00967276
ocsvm,0.00550851
ocsvm,0.00447668
ocsvm,0.00656895
ocsvm,0.00992722
ocsvm,0.01258914
ocsvm,0.00875078
ocsvm,0.01154506
ocsvm,0.00570927
ocsvm,0.01792755
ocsvm,0.00535875
ocsvm,0.01663737
ocsvm,0.00715628
ocsvm,0.01161248
ocsvm,0.00754433
ocsvm,0.01566197
ocsvm,0.01577481
ocsvm,0.01168867
ocsvm,0.01170435
ocsvm,0.00637823
ocsvm,0.01152333
ocsvm,0.00721301
ocsvm,0.01350872
ocsvm,0.00584631
ocsvm,0.01455401
ocsvm,0.01181426
ocsvm,0.01620062
ocsvm,0.006855
ocsvm,0.00774048
ocsvm,0.00477659
ocsvm,0.01195018
ocsvm,0.00511331
ocsvm,0.00872758
ocsvm,0.01168856
ocsvm,0.00635163
ocsvm,0.01250816
ocsvm,0.01612583
ocsvm,0.01100423
ocsvm,0.01294689
ocsvm,0.01037026
ocsvm,0.01461401
ocsvm,0.0033795
ocsvm,0.01247848
ocsvm,0.0080766
ocsvm,0.00929399
ocsvm,0.00699911
ocsvm,0.01123622
ocsvm,0.0100296
ocsvm,0.00988616
ocsvm,0.01115591
