scope,group,baseline,phase9_auc,baseline_auc,delta,boot_ci_lo,boot_ci_hi,boot_p_one_sided,boot_significant,delong_z,delong_p,delong_ci_lo,delong_ci_hi,delong_significant,n_total,n_normal,n_abnormal
overall,all,ocsvm,0.787275,0.777297,0.009977,0.002614,0.017559,0.0055,True,2.585,0.009737,0.002412,0.017543,True,5522,2222,3300
overall,all,iforest,0.787275,0.787054,0.000221,-0.003028,0.003566,0.446,False,0.1283,0.897874,-0.003155,0.003597,False,5522,2222,3300
overall,all,knn,0.787275,0.775979,0.011295,0.005155,0.017106,0.0,True,3.7128,0.000205,0.005332,0.017258,True,5522,2222,3300
machine_type,fan,ocsvm,0.698577,0.672342,0.026236,0.01148,0.041514,0.0,True,3.3749,0.000738,0.010999,0.041472,True,2090,615,1475
machine_type,fan,iforest,0.698577,0.702051,-0.003474,-0.009812,0.002999,0.8455,False,-1.0718,0.283816,-0.009826,0.002879,False,2090,615,1475
machine_type,fan,knn,0.698577,0.717116,-0.018539,-0.030573,-0.007486,0.9995,False,-3.1924,0.001411,-0.029921,-0.007157,True,2090,615,1475
machine_type,pump,ocsvm,0.858572,0.813511,0.045061,0.027272,0.063259,0.0,True,5.1045,0.0,0.027758,0.062363,True,1022,566,456
machine_type,pump,iforest,0.858572,0.867216,-0.008644,-0.018361,-0.000763,0.9835,False,-1.9912,0.04646,-0.017153,-0.000135,True,1022,566,456
machine_type,pump,knn,0.858572,0.857778,0.000794,-0.012424,0.013479,0.468,False,0.1216,0.903214,-0.012008,0.013597,False,1022,566,456
machine_type,slider,ocsvm,0.881314,0.917423,-0.036108,-0.046995,-0.026034,1.0,False,-6.7121,0.0,-0.046652,-0.025564,True,1374,484,890
machine_type,slider,iforest,0.881314,0.889226,-0.007912,-0.013746,-0.002693,0.9995,False,-2.8812,0.003962,-0.013294,-0.00253,True,1374,484,890
machine_type,slider,knn,0.881314,0.843474,0.03784,0.026881,0.048672,0.0,True,7.0764,0.0,0.027359,0.048321,True,1374,484,890
machine_type,valve,ocsvm,0.828308,0.791172,0.037136,0.018628,0.05497,0.0,True,4.0358,5.4e-05,0.019101,0.055171,True,1036,557,479
machine_type,valve,iforest,0.828308,0.827862,0.000446,-0.009348,0.009584,0.453,False,0.0916,0.926999,-0.009095,0.009988,False,1036,557,479
machine_type,valve,knn,0.828308,0.826928,0.001379,-0.01269,0.015551,0.4265,False,0.2023,0.839671,-0.011983,0.014742,False,1036,557,479
machine_id,fan/id_00,ocsvm,0.531122,0.507732,0.02339,-0.046505,0.064647,0.334,False,0.4876,0.625813,-0.070624,0.117404,False,560,153,407
machine_id,fan/id_00,iforest,0.531122,0.545342,-0.01422,-0.028068,0.013574,0.9065,False,-1.8821,0.059816,-0.029028,0.000588,False,560,153,407
machine_id,fan/id_00,knn,0.531122,0.589135,-0.058013,-0.08522,-0.014759,0.9885,False,-4.0443,5.2e-05,-0.086127,-0.029898,True,560,153,407
machine_id,fan/id_02,ocsvm,0.741284,0.662789,0.078495,0.043644,0.111846,0.0,True,4.5996,4e-06,0.045047,0.111944,True,512,153,359
machine_id,fan/id_02,iforest,0.741284,0.749559,-0.008275,-0.018136,0.001092,0.9585,False,-1.6713,0.094654,-0.017978,0.001429,False,512,153,359
machine_id,fan/id_02,knn,0.741284,0.756204,-0.01492,-0.032376,0.002436,0.9555,False,-1.6827,0.09243,-0.032298,0.002459,False,512,153,359
machine_id,fan/id_04,ocsvm,0.695927,0.655209,0.040718,0.008851,0.071492,0.0075,True,2.533,0.01131,0.009211,0.072225,True,504,156,348
machine_id,fan/id_04,iforest,0.695927,0.710396,-0.014469,-0.031534,0.004332,0.9435,False,-1.6169,0.105892,-0.032008,0.00307,False,504,156,348
machine_id,fan/id_04,knn,0.695927,0.70662,-0.010693,-0.040203,0.017045,0.774,False,-0.7144,0.474969,-0.040029,0.018643,False,504,156,348
machine_id,fan/id_06,ocsvm,0.877184,0.897652,-0.020468,-0.036154,-0.004324,0.9945,False,-2.5042,0.012272,-0.036488,-0.004448,True,514,153,361
