baseline,n_pairs,mean_phase9_auc,mean_baseline_auc,mean_delta,w_stat,p_two_sided,effect_r,verdict,pair_label,pair_phase9,pair_baseline,pair_delta
ocsvm,16,0.821572,0.787943,0.033629,11.0,0.001678,0.9191,SIGNIFICANT,,,,
ocsvm,,,,,,,,,fan/id_00,0.531451,0.507732,0.023719
ocsvm,,,,,,,,,fan/id_02,0.742768,0.662789,0.079979
ocsvm,,,,,,,,,fan/id_04,0.690834,0.655209,0.035625
ocsvm,,,,,,,,,fan/id_06,0.879746,0.897652,-0.017906
ocsvm,,,,,,,,,pump/id_00,0.828441,0.796973,0.031469
ocsvm,,,,,,,,,pump/id_02,0.798305,0.696776,0.101529
ocsvm,,,,,,,,,pump/id_04,0.953208,0.941887,0.011321
ocsvm,,,,,,,,,pump/id_06,0.932378,0.884867,0.047511
ocsvm,,,,,,,,,slider/id_00,0.992777,0.992062,0.000715
ocsvm,,,,,,,,,slider/id_02,0.937167,0.94703,-0.009863
ocsvm,,,,,,,,,slider/id_04,0.673186,0.674157,-0.000971
ocsvm,,,,,,,,,slider/id_06,0.798863,0.751006,0.047857
ocsvm,,,,,,,,,valve/id_00,0.969132,0.913501,0.05563
ocsvm,,,,,,,,,valve/id_02,0.769782,0.755607,0.014174
ocsvm,,,,,,,,,valve/id_04,0.913333,0.893056,0.020278
ocsvm,,,,,,,,,valve/id_06,0.733778,0.636778,0.097
iforest,16,0.821572,0.820286,0.001286,56.0,0.56189,0.5882,NOT_SIGNIFICANT,,,,
iforest,,,,,,,,,fan/id_00,0.531451,0.545342,-0.013891
iforest,,,,,,,,,fan/id_02,0.742768,0.749559,-0.006791
iforest,,,,,,,,,fan/id_04,0.690834,0.710396,-0.019562
iforest,,,,,,,,,fan/id_06,0.879746,0.89041,-0.010664
iforest,,,,,,,,,pump/id_00,0.828441,0.826279,0.002162
iforest,,,,,,,,,pump/id_02,0.798305,0.807847,-0.009542
iforest,,,,,,,,,pump/id_04,0.953208,0.958113,-0.004906
iforest,,,,,,,,,pump/id_06,0.932378,0.92955,0.002828
iforest,,,,,,,,,slider/id_00,0.992777,0.988729,0.004048
iforest,,,,,,,,,slider/id_02,0.937167,0.932003,0.005164
iforest,,,,,,,,,slider/id_04,0.673186,0.676377,-0.00319
iforest,,,,,,,,,slider/id_06,0.798863,0.769039,0.029824
iforest,,,,,,,,,valve/id_00,0.969132,0.972437,-0.003305
iforest,,,,,,,,,valve/id_02,0.769782,0.722664,0.047118
iforest,,,,,,,,,valve/id_04,0.913333,0.920333,-0.007
iforest,,,,,,,,,valve/id_06,0.733778,0.7255,0.008278
knn,16,0.821572,0.825919,-0.004347,48.0,0.32251,0.6471,NOT_SIGNIFICANT,,,,
knn,,,,,,,,,fan/id_00,0.531451,0.589135,-0.057683
knn,,,,,,,,,fan/id_02,0.742768,0.756204,-0.013436
knn,,,,,,,,,fan/id_04,0.690834,0.70662,-0.015786
knn,,,,,,,,,fan/id_06,0.879746,0.87694,0.002806
knn,,,,,,,,,pump/id_00,0.828441,0.799227,0.029214
knn,,,,,,,,,pump/id_02,0.798305,0.814189,-0.015884
knn,,,,,,,,,pump/id_04,0.953208,0.965,-0.011792
knn,,,,,,,,,pump/id_06,0.932378,0.929173,0.003205
knn,,,,,,,,,slider/id_00,0.992777,0.994731,-0.001954
knn,,,,,,,,,slider/id_02,0.937167,0.947542,-0.010375
knn,,,,,,,,,slider/id_04,0.673186,0.66847,0.004716
knn,,,,,,,,,slider/id_06,0.798863,0.795395,0.003468
knn,,,,,,,,,valve/id_00,0.969132,0.964538,0.004594
knn,,,,,,,,,valve/id_02,0.769782,0.684034,0.085748
knn,,,,,,,,,valve/id_04,0.913333,0.949056,-0.035722
knn,,,,,,,,,valve/id_06,0.733778,0.774444,-0.040667
