group_type,group_value,metric,n,mean,std,min,max,phase9_higher,e1_higher,equal
overall,all,normalized_euclidean,1022,-1.198341,13.2745,-83.098824,36.844131,524,498,0
overall,all,normalized_manhattan,1022,-28.815271,179.933585,-1139.353394,489.233276,474,548,0
overall,all,normalized_cosine,1022,0.021555,0.102536,-0.207152,0.22419,613,409,0
label,normal,normalized_euclidean,566,0.307826,7.168019,-35.311192,23.863258,317,249,0
label,normal,normalized_manhattan,566,-7.318953,103.58079,-517.619751,308.732574,276,290,0
label,normal,normalized_cosine,566,0.015139,0.103364,-0.207152,0.22419,311,255,0
label,abnormal,normalized_euclidean,456,-3.067839,18.035685,-83.098824,36.844131,207,249,0
label,abnormal,normalized_manhattan,456,-55.497103,240.913735,-1139.353394,489.233276,198,258,0
label,abnormal,normalized_cosine,456,0.029519,0.101046,-0.198814,0.202304,302,154,0
machine,id_00,normalized_euclidean,295,-0.459102,10.663888,-34.162214,35.804798,147,148,0
machine,id_00,normalized_manhattan,295,-18.70104,141.554149,-465.662323,407.151611,135,160,0
machine,id_00,normalized_cosine,295,0.030172,0.113253,-0.199328,0.202304,177,118,0
machine,id_02,normalized_euclidean,263,-0.111264,9.662575,-22.999077,31.811775,125,138,0
machine,id_02,normalized_manhattan,263,-12.315569,132.804317,-331.457153,372.460144,112,151,0
machine,id_02,normalized_cosine,263,0.026584,0.106917,-0.207152,0.22419,162,101,0
machine,id_04,normalized_euclidean,206,-5.825572,17.738442,-83.098824,36.844131,88,118,0
machine,id_04,normalized_manhattan,206,-94.495225,244.511492,-1139.353394,489.233276,78,128,0
machine,id_04,normalized_cosine,206,0.01706,0.090928,-0.19681,0.219608,124,82,0
machine,id_06,normalized_euclidean,258,0.54287,14.203793,-51.546005,31.885247,164,94,0
machine,id_06,normalized_manhattan,258,-4.757321,188.669244,-680.776062,420.69561,149,109,0
machine,id_06,normalized_cosine,258,0.010165,0.092676,-0.181586,0.181606,150,108,0
