machine_type,machine_id,metric,metric_short,n_normal,n_abnormal,roc_auc,cohens_d,roc_auc_ref,cohens_d_ref
pump,id_00,normalized_euclidean,euclidean,152,143,0.828441,1.174853,0.828441,1.174853
pump,id_00,normalized_manhattan,manhattan,152,143,0.829269,1.187107,0.829269,1.187107
pump,id_00,normalized_cosine,cosine,152,143,0.441434,-0.211873,0.558566,-0.211873
pump,id_02,normalized_euclidean,euclidean,152,111,0.795223,0.963596,0.795223,0.963596
pump,id_02,normalized_manhattan,manhattan,152,111,0.797949,0.995646,0.797949,0.995646
pump,id_02,normalized_cosine,cosine,152,111,0.354967,-0.563431,0.645033,-0.563431
pump,id_04,normalized_euclidean,euclidean,106,100,0.951604,2.511386,0.951604,2.511386
pump,id_04,normalized_manhattan,manhattan,106,100,0.952358,2.544684,0.952358,2.544684
pump,id_04,normalized_cosine,cosine,106,100,0.761887,1.055847,0.761887,1.055847
pump,id_06,normalized_euclidean,euclidean,156,102,0.929361,2.230225,0.929361,2.230225
pump,id_06,normalized_manhattan,manhattan,156,102,0.929047,2.225307,0.929047,2.225307
pump,id_06,normalized_cosine,cosine,156,102,0.425151,-0.255767,0.574849,-0.255767
fan,id_00,normalized_euclidean,euclidean,153,407,0.531122,0.132774,0.531122,0.132774
fan,id_00,normalized_manhattan,manhattan,153,407,0.524698,0.117125,0.524698,0.117125
fan,id_00,normalized_cosine,cosine,153,407,0.486896,-0.045195,0.513104,-0.045195
fan,id_02,normalized_euclidean,euclidean,153,359,0.741284,0.864056,0.741284,0.864056
fan,id_02,normalized_manhattan,manhattan,153,359,0.740255,0.861136,0.740255,0.861136
fan,id_02,normalized_cosine,cosine,153,359,0.394951,-0.409125,0.605049,-0.409125
fan,id_04,normalized_euclidean,euclidean,156,348,0.695927,0.648554,0.695927,0.648554
fan,id_04,normalized_manhattan,manhattan,156,348,0.692722,0.632333,0.692722,0.632333
fan,id_04,normalized_cosine,cosine,156,348,0.498922,0.041057,0.501078,0.041057
fan,id_06,normalized_euclidean,euclidean,153,361,0.877184,1.674696,0.877184,1.674696
fan,id_06,normalized_manhattan,manhattan,153,361,0.874034,1.673242,0.874034,1.673242
fan,id_06,normalized_cosine,cosine,153,361,0.489028,-0.017015,0.510972,-0.017015
slider,id_00,normalized_euclidean,euclidean,161,356,0.989977,3.477528,0.989977,3.477528
slider,id_00,normalized_manhattan,manhattan,161,356,0.989453,3.46271,0.989453,3.46271
slider,id_00,normalized_cosine,cosine,161,356,0.258488,-1.194733,0.741512,-1.194733
slider,id_02,normalized_euclidean,euclidean,161,267,0.933596,2.145533,0.933596,2.145533
slider,id_02,normalized_manhattan,manhattan,161,267,0.931247,2.11477,0.931247,2.11477
slider,id_02,normalized_cosine,cosine,161,267,0.580838,0.289579,0.580838,0.289579
slider,id_04,normalized_euclidean,euclidean,81,178,0.67655,0.469626,0.67655,0.469626
slider,id_04,normalized_manhattan,manhattan,81,178,0.676065,0.475539,0.676065,0.475539
slider,id_04,normalized_cosine,cosine,81,178,0.576189,0.291815,0.576189,0.291815
slider,id_06,normalized_euclidean,euclidean,81,89,0.792135,0.916534,0.792135,0.916534
slider,id_06,normalized_manhattan,manhattan,81,89,0.790054,0.907722,0.790054,0.907722
slider,id_06,normalized_cosine,cosine,81,89,0.436191,-0.254809,0.563809,-0.254809
valve,id_00,normalized_euclidean,euclidean,150,119,0.96098,2.511563,0.96098,2.511563
valve,id_00,normalized_manhattan,manhattan,150,119,0.961261,2.557436,0.961261,2.557436
valve,id_00,normalized_cosine,cosine,150,119,0.076106,-1.975078,0.923894,-1.975078
valve,id_02,normalized_euclidean,euclidean,107,120,0.771301,0.743646,0.771301,0.743646
valve,id_02,normalized_manhattan,manhattan,107,120,0.771379,0.735633,0.771379,0.735633
valve,id_02,normalized_cosine,cosine,107,120,0.598014,0.315962,0.598014,0.315962
valve,id_04,normalized_euclidean,euclidean,150,120,0.907583,1.892008,0.907583,1.892008
valve,id_04,normalized_manhattan,manhattan,150,120,0.895083,1.784566,0.895083,1.784566
valve,id_04,normalized_cosine,cosine,150,120,0.765417,1.148247,0.765417,1.148247
valve,id_06,normalized_euclidean,euclidean,150,120,0.727194,0.855343,0.727194,0.855343
valve,id_06,normalized_manhattan,manhattan,150,120,0.721306,0.84009,0.721306,0.84009
valve,id_06,normalized_cosine,cosine,150,120,0.526861,0.075087,0.526861,0.075087
