machine_type,metric,roc_auc,cohens_d
slider,normalized_euclidean,0.881314,1.487442
slider,normalized_manhattan,0.880602,1.48202
pump,normalized_manhattan,0.864136,1.436819
pump,normalized_euclidean,0.863535,1.424665
valve,normalized_euclidean,0.828308,1.275274
valve,normalized_manhattan,0.823424,1.252035
fan,normalized_euclidean,0.698577,0.738717
fan,normalized_manhattan,0.695405,0.732896
slider,normalized_cosine,0.562571,-0.214406
valve,normalized_cosine,0.544102,0.164893
fan,normalized_cosine,0.530438,-0.108894
pump,normalized_cosine,0.500143,0.015327
