scope,group,metric,auc,ci_lo_95,ci_hi_95,ci_width,bootstrap_std,n_bootstrap
machine_type,fan,normalized_euclidean,0.698507,0.675629,0.721035,0.045406,0.01154,2000
machine_type,fan,normalized_manhattan,0.695306,0.672051,0.717968,0.045918,0.011546,2000
machine_type,fan,normalized_cosine,0.469137,0.439451,0.498564,0.059113,0.014805,2000
machine_type,pump,normalized_euclidean,0.865186,0.843819,0.886121,0.042303,0.01111,2000
machine_type,pump,normalized_manhattan,0.865812,0.844186,0.886488,0.042301,0.01107,2000
machine_type,pump,normalized_cosine,0.502964,0.467178,0.539296,0.072118,0.01818,2000
machine_type,slider,normalized_euclidean,0.884319,0.866394,0.902679,0.036286,0.009334,2000
machine_type,slider,normalized_manhattan,0.883597,0.865605,0.901953,0.036348,0.009398,2000
machine_type,slider,normalized_cosine,0.437676,0.403856,0.471704,0.067848,0.017325,2000
machine_type,valve,normalized_euclidean,0.834061,0.810703,0.858098,0.047395,0.012387,2000
machine_type,valve,normalized_manhattan,0.829101,0.804937,0.853651,0.048714,0.0126,2000
machine_type,valve,normalized_cosine,0.54449,0.509256,0.578443,0.069187,0.017717,2000
machine_id,fan/id_00,normalized_euclidean,0.529346,0.478928,0.58122,0.102293,0.026515,2000
machine_id,fan/id_00,normalized_manhattan,0.522864,0.473322,0.573679,0.100356,0.026384,2000
machine_id,fan/id_00,normalized_cosine,0.486793,0.432236,0.539473,0.107237,0.027573,2000
machine_id,fan/id_02,normalized_euclidean,0.741657,0.696233,0.78746,0.091226,0.02261,2000
machine_id,fan/id_02,normalized_manhattan,0.740619,0.69466,0.786755,0.092095,0.022678,2000
machine_id,fan/id_02,normalized_cosine,0.394167,0.339729,0.453781,0.114052,0.029394,2000
machine_id,fan/id_04,normalized_euclidean,0.695975,0.645634,0.743161,0.097527,0.025041,2000
machine_id,fan/id_04,normalized_manhattan,0.69274,0.64146,0.740392,0.098932,0.02519,2000
machine_id,fan/id_04,normalized_cosine,0.498448,0.438777,0.558876,0.120099,0.030752,2000
machine_id,fan/id_06,normalized_euclidean,0.878819,0.84948,0.905517,0.056037,0.014509,2000
