machine_type,machine_id,filename,true_label,health_score,health_percentage,health_state,normalized_euclidean,normalized_manhattan,normalized_cosine
pump,id_00,00000764.wav,normal,98.86926233370114,98.9%,EXCELLENT,9.770064353942871,124.3281021118164,0.08967822790145874
pump,id_02,00000095.wav,normal,72.2774952014803,72.3%,WARNING,21.595277786254883,297.15863037109375,0.022242547944188118
pump,id_04,00000081.wav,normal,7.769983238676866,7.8%,CRITICAL,36.39978790283203,502.1975402832031,0.0785084217786789
pump,id_06,00000048.wav,normal,22.746346208170888,22.7%,CRITICAL,29.33989143371582,408.1894836425781,-0.007763133384287357
pump,id_00,00000000.wav,abnormal,89.7215994744057,89.7%,GOOD,17.023120880126953,228.0522003173828,-0.02121916227042675
pump,id_02,00000000.wav,abnormal,86.50454744712219,86.5%,GOOD,18.15896987915039,251.71658325195312,-0.03733779117465019
pump,id_04,00000000.wav,abnormal,0.04331494806318423,0.0%,CRITICAL,50.1808967590332,694.4002685546875,0.044362835586071014
pump,id_06,00000000.wav,abnormal,3.784542804629694,3.8%,CRITICAL,35.594444274902344,496.465576171875,-0.048472993075847626
pump,id_00,00000269.wav,normal,98.56019500566023,98.6%,EXCELLENT,10.439656257629396,145.9898681640625,0.081447996199131
pump,id_00,00000551.wav,normal,71.08850040019068,71.1%,WARNING,22.100622177124023,311.36309814453125,-0.0316683389246463
pump,id_00,00000980.wav,normal,98.2157176638711,98.2%,EXCELLENT,11.053179740905762,151.60568237304688,0.0319799482822418
pump,id_00,00000762.wav,normal,98.61335376547646,98.6%,EXCELLENT,10.33396053314209,133.78028869628906,0.0212425682693719
pump,id_00,00000252.wav,normal,92.78150082968035,92.8%,EXCELLENT,15.636484146118164,206.656982421875,-0.0594560280442237
pump,id_00,00000998.wav,normal,98.71424319311424,98.7%,EXCELLENT,10.123363494873049,133.11068725585938,-0.0133811403065919
pump,id_00,00000271.wav,normal,0.0056809155395485,0.0%,CRITICAL,53.683067321777344,725.558349609375,-0.0240144785493612
pump,id_00,00000146.wav,normal,57.04018612417966,57.0%,WARNING,24.808443069458008,343.1601867675781,-0.0843380838632583
pump,id_00,00000469.wav,normal,99.05574390506114,99.1%,EXCELLENT,9.284326553344728,123.99411010742188,-0.0462300889194011
pump,id_00,00000658.wav,normal,94.51119854890835,94.5%,EXCELLENT,14.638748168945312,202.18768310546875,0.0566560551524162
pump,id_00,00000405.wav,normal,98.95596244546046,99.0%,EXCELLENT,9.553675651550291,126.2554931640625,-0.0566801279783248
pump,id_00,00000511.wav,normal,7.14002129542238,7.1%,CRITICAL,36.55913543701172,495.601806640625,-0.0373502187430858
pump,id_00,00000671.wav,normal,99.46615242139124,99.5%,EXCELLENT,7.81583309173584,102.76734161376952,0.0305600520223379
pump,id_00,00000217.wav,normal,86.28617646772965,86.3%,GOOD,18.257524490356445,244.9246368408203,0.0461948849260807
pump,id_00,00000322.wav,normal,99.59819877701848,99.6%,EXCELLENT,7.118771553039551,95.66656494140624,-0.0280613880604505
pump,id_00,00000735.wav,normal,88.16292296165894,88.2%,GOOD,17.61447525024414,242.72406005859372,0.0492136664688587
pump,id_00,00000580.wav,normal,98.69719577932663,98.7%,EXCELLENT,10.15992832183838,134.5084686279297,0.0565971173346042
pump,id_00,00000216.wav,normal,97.8878494324838,97.9%,EXCELLENT,11.549383163452148,149.21304321289062,-0.0928191617131233
pump,id_00,00000067.wav,normal,97.30745567912106,97.3%,EXCELLENT,12.286709785461426,169.77806091308594,0.0158000979572534
pump,id_00,00000274.wav,normal,97.3987432589762,97.4%,EXCELLENT,12.180194854736328,168.92405700683594,0.0125140938907861
pump,id_00,00000410.wav,normal,99.05019244962897,99.1%,EXCELLENT,9.29995059967041,117.89494323730467,-0.0072556380182504
pump,id_00,00000323.wav,normal,98.66879959375431,98.7%,EXCELLENT,10.219926834106444,137.9434051513672,0.0448867380619049
pump,id_00,00000824.wav,normal,98.94933783729412,98.9%,EXCELLENT,9.570751190185549,129.47796630859375,0.0489779710769653
pump,id_00,00000988.wav,normal,98.06305402203088,98.1%,EXCELLENT,11.29309368133545,148.17587280273438,0.0315591692924499
pump,id_00,00000841.wav,normal,98.61607857413644,98.6%,EXCELLENT,10.328449249267578,144.93338012695312,0.0816762000322341
pump,id_00,00000234.wav,normal,99.76621098434715,99.8%,EXCELLENT,5.8455352783203125,73.78273010253906,-0.0330603010952472
