machine_type,machine_id,filename,true_label,health_score,health_percentage,health_state,normalized_euclidean,normalized_manhattan,normalized_cosine
fan,id_00,00000764.wav,normal,98.5734173135053,98.6%,EXCELLENT,10.28368091583252,139.45570373535156,-0.034861840307712555
fan,id_00,00000269.wav,normal,99.27623583876981,99.3%,EXCELLENT,8.425640106201172,116.3416976928711,-0.060065045952796936
fan,id_00,00000551.wav,normal,98.7456843319253,98.7%,EXCELLENT,9.918597221374512,136.1663818359375,0.024514615535736084
fan,id_00,00000985.wav,normal,30.1446746421165,30.1%,CRITICAL,30.003915786743164,397.52264404296875,0.04082992300391197
fan,id_00,00000762.wav,normal,94.45516639754126,94.5%,EXCELLENT,14.618427276611328,196.21083068847656,0.009947742335498333
fan,id_00,00000252.wav,normal,97.14190122164257,97.1%,EXCELLENT,12.378046035766602,170.0510711669922,-0.024550877511501312
fan,id_00,00001003.wav,normal,96.42555870258634,96.4%,EXCELLENT,13.103585243225098,177.8527374267578,-0.05434708669781685
fan,id_00,00000271.wav,normal,99.21320123556592,99.2%,EXCELLENT,8.645862579345703,113.35435485839844,-0.06944198906421661
fan,id_00,00000146.wav,normal,82.83173300826543,82.8%,GOOD,19.32366943359375,260.72576904296875,-0.018696585670113564
fan,id_00,00000469.wav,normal,98.76518583077218,98.8%,EXCELLENT,9.874577522277832,132.2323760986328,0.0831967443227768
fan,id_00,00000658.wav,normal,98.74081508452811,98.7%,EXCELLENT,9.929495811462402,130.72691345214844,0.08287160843610764
fan,id_00,00000405.wav,normal,98.85740911354858,98.9%,EXCELLENT,9.657867431640625,135.43084716796875,0.08783650398254395
fan,id_00,00000511.wav,normal,97.06529145963019,97.1%,EXCELLENT,12.46240234375,167.10760498046875,0.04878142476081848
fan,id_00,00000671.wav,normal,98.49334511679231,98.5%,EXCELLENT,10.440570831298828,142.6161346435547,0.05080899968743324
fan,id_00,00000217.wav,normal,99.61761932721811,99.6%,EXCELLENT,6.810290813446045,93.91215515136719,0.05538447946310043
fan,id_00,00000322.wav,normal,99.25865502451873,99.3%,EXCELLENT,8.488709449768066,114.68806457519531,0.0530533604323864
