machine_type,machine_id,filename,true_label,health_score,health_percentage,health_state,normalized_euclidean,normalized_manhattan,normalized_cosine
valve,id_00,00000551.wav,normal,95.0,95.0%,EXCELLENT,0.0,0.0,0.0
valve,id_02,00000294.wav,normal,95.0,95.0%,EXCELLENT,0.0,0.0,0.0
valve,id_04,00000859.wav,normal,95.0,95.0%,EXCELLENT,0.0,0.0,0.0
valve,id_06,00000423.wav,normal,95.0,95.0%,EXCELLENT,0.0,0.0,0.0
valve,id_00,00000000.wav,abnormal,95.0,95.0%,EXCELLENT,0.0,0.0,0.0
valve,id_02,00000000.wav,abnormal,95.0,95.0%,EXCELLENT,0.0,0.0,0.0
valve,id_04,00000000.wav,abnormal,95.0,95.0%,EXCELLENT,0.0,0.0,0.0
valve,id_06,00000000.wav,abnormal,95.0,95.0%,EXCELLENT,0.0,0.0,0.0
valve,id_00,00000965.wav,normal,99.61056363576408,99.6%,EXCELLENT,7.054295539855957,95.71656799316406,0.04215802624821663
valve,id_00,00000762.wav,normal,99.00368816499544,99.0%,EXCELLENT,9.436306953430176,119.21466064453125,0.03936613351106644
valve,id_00,00000252.wav,normal,97.0559624082626,97.1%,EXCELLENT,12.570674896240234,173.56112670898438,-0.003750962670892477
valve,id_00,00000983.wav,normal,98.17022463667351,98.2%,EXCELLENT,11.13325309753418,150.11888122558594,0.03309785574674606
valve,id_00,00000271.wav,normal,99.28121810513224,99.3%,EXCELLENT,8.578825950622559,116.45243835449219,0.0011465528514236212
valve,id_00,00000146.wav,normal,99.43580952595347,99.4%,EXCELLENT,7.963979244232178,104.33494567871094,0.044989198446273804
valve,id_00,00000469.wav,normal,94.94580974002803,94.9%,EXCELLENT,14.353188514709473,199.91619873046875,-0.022382818162441254
valve,id_00,00000658.wav,normal,94.1317612864074,94.1%,EXCELLENT,14.879744529724121,196.65919494628906,0.014785470440983772
valve,id_00,00000405.wav,normal,94.67009128550342,94.7%,EXCELLENT,14.538599014282227,185.91334533691406,-0.009264588356018066
valve,id_00,00000511.wav,normal,82.90845543404362,82.9%,GOOD,19.276901245117188,253.31716918945312,0.0016789513174444437
valve,id_00,00000671.wav,normal,99.73580520368293,99.7%,EXCELLENT,6.13893985748291,83.21589660644531,0.06682179868221283
valve,id_00,00000217.wav,normal,96.59332460273104,96.6%,EXCELLENT,13.034843444824219,171.5445556640625,-0.0015573095297440886
valve,id_00,00000322.wav,normal,99.50659045273808,99.5%,EXCELLENT,7.630789279937744,103.72189331054688,0.011878801509737968
